;doc;source;author;title;year;period;text_type;sentence
60114;TT10terribilmente_randomsample.csv;itTenten2010;giovani.it;giovani.it;2010.0;2001-2021;web;['un blog emo questo blog è diventato terribilmente passivo.']
61311;TT10terribilmente_randomsample.csv;itTenten2010;crepuscolo.it;crepuscolo.it;2010.0;2001-2021;web;['gli uomini che il marchese aveva messo a sua disposizione erano circa un migliaio, terribilmente pochi, per lui che conosceva la minaccia da affrontare.']
61365;LLAgaraff2.txt;Liber Liber;Paolo Agaraff;Il quinto cilindro;2010.0;2001-2021;prosa letteraria;['non scherzate su queste cose  la voce di bulgheroni si era fatta terribilmente seria.']
61437;TT10terribilmente_randomsample.csv;itTenten2010;repubblica.it;repubblica.it;2010.0;2001-2021;web;['saluti fb il milan invece, non fosse stato per ibra sul quale mi soffermerò dopo, mi sembra terribilmente uguale a se stesso, immutabile nei suoi equivoci, irritante nella sua lentezza, incomprensibile in alcune non']
61460;TT10terribilmente_randomsample.csv;itTenten2010;fumettidicarta.it;fumettidicarta.it;2010.0;2001-2021;web;['all  inizio si capisce bene che nexus sarà anche temuto e potente, ma è anche terribilmente solo.']
61465;TT10terribilmente_randomsample.csv;itTenten2010;club.it;club.it;2010.0;2001-2021;web;['perfino ogni volta che starnutiva, gli veniva il mestolino qualunque notizia sentisse alla radio e si affliggeva terribilmente quando guardava tramontare il sole.']
61487;TT10terribilmente_randomsample.csv;itTenten2010;prometheo.it;prometheo.it;2010.0;2001-2021;web;[' n   if  or    n       n           fib    n      fib    n        che va calcolare più e più volte gli stessi valori in una maniera terribilmente inefficiente!']
61548;TT10terribilmente_randomsample.csv;itTenten2010;lastampa.it;lastampa.it;2010.0;2001-2021;web;['rimane lucido, terribilmente lucido.']
61578;TT10terribilmente_randomsample.csv;itTenten2010;xagena.it;xagena.it;2010.0;2001-2021;web;['mia madre infatti soffre terribilmente di dolori alle ginocchia ma i dottori finora interpellati  facendo anche la tac  si sono limitati a dare cure senza']
61596;TT10terribilmente_randomsample.csv;itTenten2010;repubblica.it;repubblica.it;2010.0;2001-2021;web;['la battuta ha un fondo di verità anche perché i libri sono terribilmente costosi, rapportati ai miseri salari di qui.']
