;;doc;source;author;title;year;period;text_type;sentence
1851-1900;8335;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Paolo Pelliccioni, Volume 2 (of 2);1872.0;1851-1900;prosa letteraria;"['sempre grondante sangue cagliato, con le chiome grommose; ma poi mutata vicenda toccò al capo di tuda comparire terribilmente miserabile, mentre la testa del prete guercino si affacciava ora con la sua bella chierica candida come fiore di latte,']"
1851-1900;8336;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Il secolo che muore, vol. III;1872.0;1851-1900;prosa letteraria;['la solennità dell  ora, la voce terribilmente arcana delle acque, anche quando addormentate respirano, la distesa dei cieli, la dimostrazione parlante, continua']
1851-1900;8337;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Il secolo che muore, vol. IV;1872.0;1851-1900;prosa letteraria;"[', trassero fuori delle tasche il bowieknife, ovvero _coltello piegatoio_, che gli americani maneggiano con maestria terribilmente celebre: non era tempo di gingillarsi cotesto; però filippo e curio, recatesi in mano le rivoltelle a sei colpi, le']"
1851-1900;8338;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Il secolo che muore, vol. IV;1872.0;1851-1900;prosa letteraria;"['alla fine liberano da morte sicura la bianca, terribilmente malconcia; aveva gli occhi fuori come gatto arrabbiato; le impronte sanguigne intorno al collo le durarono più di un']"
1851-1900;8339;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Il secolo che muore, vol. II;1872.0;1851-1900;prosa letteraria;['tardi questo essere stato astuto consiglio per ispossarmi: cessato che io mi ebbi di parlare, ella, ineccitabile, a me terribilmente palpitante rispose in questi accenti:   arria non ha potuto resistere alla voce che le venne dal paradiso di']
1851-1900;8340;GBfare_randomsample.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 2;1872.0;1851-1900;prosa letteraria;['appena cessarono di farsi udire le trombe che avevan sonata la partenza d  un reggimento, un nuovo squillo dall  altra parte annunziava terribilmente l  arrivo di altra simile, anzi peggiore brigata.']
1851-1900;8341;GBterribilmente.csv;Gutenberg; Alessandro Manzoni;I promessi sposi. Opere di Alessando Manzoni, vol. 1;1872.0;1851-1900;prosa letteraria;[', l  innominato pensò subito a rispondere a questa che s  era fatta lui stesso, o piuttosto quel nuovo lui, che cresciuto terribilmente a un tratto, sorgeva come a giudicare l  antico.']
1851-1900;8342;GBterribilmente.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 2;1872.0;1851-1900;prosa letteraria;['a porsi a canto una parete, tenendo colla destra il cane e il grilletto, colla sinistra la canna d  una sua carabina, terribilmente famosa al pari di lui.']
1851-1900;8354;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Traduzioni;1872.0;1851-1900;prosa letteraria;['batte terribilmente il messo della giustizia, più terribilmente il mio cuore.']
1851-1900;8355;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Traduzioni;1872.0;1851-1900;prosa letteraria;['qual cosa rompe l  aere silenzioso così forsennatamente squillante, così terribilmente selvaggio?']
1851-1900;8356;GBterribilmente.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 2;1872.0;1851-1900;prosa letteraria;"['che lo traggono a disperare, e l  altro che gli arresta la mano; tutta quella notte infine offrono un tal che di sì terribilmente vero, misterioso e solenne, che a noi sembra poco il dire che negli altri lavori di simil genere non v  ha brano che possa']"
1851-1900;8357;GBterribilmente.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 2;1872.0;1851-1900;prosa letteraria;"['era terribilmente in forse di fermo: agnese non le aveva potuto dire se non quello ch  ella stessa sapeva confusamente; che fermo, cioè,']"
1851-1900;8358;GBterribilmente.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 2;1872.0;1851-1900;prosa letteraria;['di farsi udire le trombe che avevan sonata la partenza d  un reggimento, un nuovo squillo dall  altra parte annunziava terribilmente l  arrivo di altra simile, anzi peggiore brigata.']
1851-1900;8359;GBterribilmente.csv;Gutenberg; Alessandro Manzoni;Brani inediti dei Promessi Sposi. Opere di Alessando Manzoni vol. 2 parte 1;1872.0;1851-1900;prosa letteraria;"['contegno sentiva talvolta orrore e disprezzo, ne riceveva una specie di scandalo; ma questi sentimenti ricadevano terribilmente su la sua coscienza, perchè ad ogni volta geltrude era costretta a ricordarsi che dessa era quella che aveva fatto far']"
